account ID,event ID,行程名稱,品項名稱,消費類型,付款方式,支付幣別,支付金額,付款人,匯率,回饋,第幾天,insert date,update date
acc00001,,,回程長榮機票,交通,刷卡,JPY,-59920,油,0.2,0,,2026-04-13 12:51:58,2026-04-13 12:51:58
acc00003,,,去程樂桃機票,交通,刷卡,TWD,-9580,油,1,0,,2026-04-13 12:53:02,2026-04-13 12:53:02
acc00004,,,富邦旅平險,雜項,刷卡,TWD,-1094,油,1,0,,2026-04-13 12:57:09,2026-04-13 12:57:09
acc00007,,,平井家六天住宿費,住宿,刷卡,TWD,-18056,油,1,0,,2026-04-13 13:00:08,2026-04-13 13:00:08
acc00006,ev00030,東京站丸之內北口2號,富士山六景一日遊,景點,刷卡,TWD,-3003,油,1,0,3,2026-04-13 14:11:49,2026-04-13 14:11:49
acc00005,,,威訊Esim吃到飽,雜項,刷卡,TWD,-607,油,1,0,,2026-04-13 20:40:03,2026-04-13 20:40:03
acc00008,ev00023,今天的主題是,Skyliner車票,交通,刷卡,JPY,-4620,油,0.2,0,1,2026-04-15 7:38:58,2026-04-15 7:38:58
acc00009,ev00023,今天的主題是,[回饋] (acc00008) Skyliner車票,雜項,系統回饋,TWD,13.86,系統,1,0,1,2026-04-15 7:38:58,2026-04-15 7:38:58
acc00010,,,礦泉水,飲食,現金,TWD,-14,油,1,0,1,2026-04-15 22:30:02,2026-04-15 22:30:02
acc00013,,,富邦旅平保險,雜項,刷卡,TWD,-1077,瓜,1,0,1,2026-04-15 22:41:30,2026-04-15 22:41:30
acc00015,ev00020,成田國際機場,櫻花卡儲值,交通,現金,JPY,-3000,瓜,0.2,0,1,2026-04-16 6:30:12,2026-04-16 6:30:12
acc00016,ev00020,成田國際機場,全家早餐（咖哩起司麵包+布丁）,飲食,現金,JPY,-397,瓜,0.2,0,1,2026-04-16 7:07:53,2026-04-16 7:07:53
acc00014,,,日本sim卡,雜項,現金,TWD,-224,瓜,1,0,1,2026-04-16 7:09:01,2026-04-16 7:09:01
acc00017,ev00036,Ueno Station,行李箱寄放置物櫃,雜項,現金,JPY,-1000,瓜,0.2,0,1,2026-04-16 14:38:59,2026-04-16 14:38:59
acc00019,,,7-11晚餐加隔天早餐,飲食,刷卡,JPY,-1253,油,0.2025,0,1,2026-04-16 21:15:49,2026-04-16 21:15:49
acc00020,,,[回饋] (acc00019) 7-11晚餐加隔天早餐,雜項,系統回饋,TWD,3.8059875,系統,1,0,1,2026-04-16 21:15:49,2026-04-16 21:15:49
acc00021,ev00039,OS Drug 上野店藥妝店,OS藥妝血拼,購物,現金,JPY,-19790,瓜,0.2,0,1,2026-04-17 6:01:05,2026-04-17 6:01:05
acc00024,ev00041,二木菓子 第一營業所,二木果子零食買爆,購物,刷卡,JPY,-3562,油,0.2,0,1,2026-04-17 6:14:11,2026-04-17 6:14:11
acc00025,ev00041,二木菓子 第一營業所,[回饋] (acc00024) 二木果子零食買爆,雜項,系統回饋,TWD,10.686,系統,1,0,1,2026-04-17 6:14:11,2026-04-17 6:14:11
acc00028,,,猩猩之握,購物,現金,JPY,-5478,瓜,0.2,0,1,2026-04-17 6:23:19,2026-04-17 6:23:19
acc00029,,,唐吉訶德誤被免稅束縛,購物,刷卡,JPY,-6976,油,0.2,0,1,2026-04-17 6:30:05,2026-04-17 6:30:05
