event ID,attraction ID,景點名稱,第幾天,順序,筆記,insert_date,update date
ev00023,att0166,今天的主題是,1,1,第一天主題：環境適應+基本購物採買,2026-04-10 21:56:03,2026-04-10 21:56:03
ev00020,att0156,成田國際機場,1,2,"搭skyliner 去京成上野
在eticket官網買票的話可以在剪票口人臉辨識取票，完全不用排隊",2026-04-10 8:45:08,2026-04-10 8:45:08
ev00036,att0169,Ueno Station,1,3,"從不忍口出站，離阿美橫町最近
在不忍札未出站的附近尋找置物櫃寄放行李",2026-04-13 15:48:37,2026-04-13 15:48:37
ev00040,att0090,上野阿美橫商店街,1,4,"東京版的迪化街？
太早到店都還沒開好",2026-04-13 16:14:16,2026-04-13 16:14:16
ev00043,att0177,UNIQLO 御徒町店,1,5,"四層樓的uniqulo，樓上還有GQ，買點基本的東西而已
七樓是手工藝雜貨的店，好險現在少做手工藝了，實在有夠好買，純欣賞",2026-04-13 16:14:16,2026-04-13 16:14:16
ev00098,att0174,唐吉訶德 御徒町店,1,6,明明就不是買消耗品，為什麼猩猩之握要被包在免稅袋裏，真的不懂欸…只好再去買一次不退稅的猩猩之握,2026-04-22 17:29:10,2026-04-22 17:29:10
ev00041,att0181,二木菓子 第一營業所,1,7,賣很多糖果餅乾跟雜貨，亂抓一些糖果餅乾，還買好黑胡椒調味料了,2026-04-13 16:14:16,2026-04-13 16:14:16
ev00039,att0182,OS Drug 上野店藥妝店,1,8,逛一輩子，瓜比價超級久，買一堆牙膏，好像是鯊魚一家要用的；油買到媽媽指定的超俗染髮霜+這幾天生活品，好累了～,2026-04-13 16:14:16,2026-04-13 16:14:16
ev00037,att0172,東京觀光資訊中心 京城上野,1,9,可以領水溝蓋卡的地方，但是水溝蓋卡不小心被油的屁股折到了，嘿嘿,2026-04-13 15:48:37,2026-04-13 15:48:37
ev00045,att0169,Ueno Station,1,10,第一次挑戰東京複雜的交通，先坐京濱東北線到秋葉原，再換總武線到平井站，很好玩耶，成功抵達,2026-04-13 16:14:16,2026-04-13 16:14:16
ev00094,att0009,餃子的王將 平井站南口店,1,11,"店員是個阿桑，態度很好但是我們沒辦法溝通，明明就看起來有三種餃子，為什麼不能點呢？好疑惑
但是上菜後餃子蠻好吃的，贏過八方雲集，甜點杏仁豆腐微酸，很讚",2026-04-22 17:19:12,2026-04-22 17:19:12
ev00022,att0165,平井家民宿,1,12,累死了先回家寄放行李睡個午覺，會講話的冷氣好棒，暖氣好舒服，馬桶會自動打開，好驚喜,2026-04-10 8:47:43,2026-04-10 8:47:43
ev00097,att0237,DAISO,1,13,大創在日本是很日常的店，很像寶雅的感覺，賣一些很生活感的東西,2026-04-22 17:20:39,2026-04-22 17:20:39
ev00095,att0112,SEIYU Hirai,1,14,西友超市超級多人，買了紅白草莓、泡麵…第一天晚餐的糧食，自助結帳很好玩，不用跟店員講話，嘿嘿,2026-04-22 17:19:12,2026-04-22 17:19:12
