split ID,account ID,行程名稱,記帳名稱,旅伴名稱,分攤金額,分攤幣別,台幣結算,insert date,update date
spl000001,acc00001,,回程長榮機票,油,-29960,JPY,-5992,2026-04-13 12:51:58,2026-04-13 12:51:58
spl000002,acc00001,,回程長榮機票,瓜,-29960,JPY,-5992,2026-04-13 12:51:58,2026-04-13 12:51:58
spl000004,acc00003,,去程樂桃機票,油,-4790,TWD,-4790,2026-04-13 12:53:02,2026-04-13 12:53:02
spl000005,acc00003,,去程樂桃機票,瓜,-4790,TWD,-4790,2026-04-13 12:53:02,2026-04-13 12:53:02
spl000006,acc00004,,富邦旅平險,油,-1094,TWD,-1094,2026-04-13 12:57:09,2026-04-13 12:57:09
spl000007,acc00004,,富邦旅平險,瓜,0,TWD,0,2026-04-13 12:57:09,2026-04-13 12:57:09
spl000012,acc00007,,平井家六天住宿費,油,-9028,TWD,-9028,2026-04-13 13:00:08,2026-04-13 13:00:08
spl000013,acc00007,,平井家六天住宿費,瓜,-9028,TWD,-9028,2026-04-13 13:00:08,2026-04-13 13:00:08
spl000014,acc00006,東京站丸之內北口2號,富士山六景一日遊,油,-1501.5,TWD,-1501.5,2026-04-13 14:11:49,2026-04-13 14:11:49
spl000015,acc00006,東京站丸之內北口2號,富士山六景一日遊,瓜,-1501.5,TWD,-1501.5,2026-04-13 14:11:49,2026-04-13 14:11:49
spl000016,acc00005,,威訊Esim吃到飽,油,-607,TWD,-607,2026-04-13 20:40:03,2026-04-13 20:40:03
spl000017,acc00005,,威訊Esim吃到飽,瓜,0,TWD,0,2026-04-13 20:40:03,2026-04-13 20:40:03
spl000018,acc00008,今天的主題是,Skyliner車票,油,-2310,JPY,-462,2026-04-15 7:38:58,2026-04-15 7:38:58
spl000019,acc00008,今天的主題是,Skyliner車票,瓜,-2310,JPY,-462,2026-04-15 7:38:58,2026-04-15 7:38:58
spl000020,acc00009,今天的主題是,[回饋] (acc00008) Skyliner車票,油,13.86,TWD,13.86,2026-04-15 7:38:58,2026-04-15 7:38:58
spl000021,acc00010,,礦泉水,油,-14,TWD,-14,2026-04-15 22:30:02,2026-04-15 22:30:02
spl000022,acc00010,,礦泉水,瓜,0,TWD,0,2026-04-15 22:30:02,2026-04-15 22:30:02
spl000026,acc00013,,富邦旅平保險,油,0,TWD,0,2026-04-15 22:41:30,2026-04-15 22:41:30
spl000027,acc00013,,富邦旅平保險,瓜,-1077,TWD,-1077,2026-04-15 22:41:30,2026-04-15 22:41:30
spl000030,acc00015,成田國際機場,櫻花卡儲值,油,0,JPY,0,2026-04-16 6:30:12,2026-04-16 6:30:12
spl000031,acc00015,成田國際機場,櫻花卡儲值,瓜,-3000,JPY,-600,2026-04-16 6:30:12,2026-04-16 6:30:12
spl000032,acc00016,成田國際機場,全家早餐（咖哩起司麵包+布丁）,油,0,JPY,0,2026-04-16 7:07:53,2026-04-16 7:07:53
spl000033,acc00016,成田國際機場,全家早餐（咖哩起司麵包+布丁）,瓜,-397,JPY,-79.4,2026-04-16 7:07:53,2026-04-16 7:07:53
spl000034,acc00014,,日本sim卡,油,0,TWD,0,2026-04-16 7:09:01,2026-04-16 7:09:01
spl000035,acc00014,,日本sim卡,瓜,-224,TWD,-224,2026-04-16 7:09:01,2026-04-16 7:09:01
spl000036,acc00017,Ueno Station,行李箱寄放置物櫃,油,-500,JPY,-100,2026-04-16 14:38:59,2026-04-16 14:38:59
spl000037,acc00017,Ueno Station,行李箱寄放置物櫃,瓜,-500,JPY,-100,2026-04-16 14:38:59,2026-04-16 14:38:59
spl000040,acc00019,,7-11晚餐加隔天早餐,油,-802,JPY,-162.405,2026-04-16 21:15:49,2026-04-16 21:15:49
spl000041,acc00019,,7-11晚餐加隔天早餐,瓜,-451,JPY,-91.3275,2026-04-16 21:15:49,2026-04-16 21:15:49
spl000042,acc00020,,[回饋] (acc00019) 7-11晚餐加隔天早餐,油,3.8059875,TWD,3.8059875,2026-04-16 21:15:49,2026-04-16 21:15:49
spl000043,acc00021,OS Drug 上野店藥妝店,OS藥妝血拼,油,-6144,JPY,-1228.8,2026-04-17 6:01:05,2026-04-17 6:01:05
spl000044,acc00021,OS Drug 上野店藥妝店,OS藥妝血拼,瓜,-13646,JPY,-2729.2,2026-04-17 6:01:05,2026-04-17 6:01:05
spl000048,acc00024,二木菓子 第一營業所,二木果子零食買爆,油,-2748,JPY,-549.6,2026-04-17 6:14:11,2026-04-17 6:14:11
